br_class,mode,n,mean_Z1,median_Z1,mean_Z3,median_Z3,mean_RDx,median_RDx,mean_RDy,median_RDy,mean_RDz,median_RDz,mean_unplaced,median_unplaced,mean_time_sec,median_time_sec
BR0,six_way,100,0.812513,0.808822,9.72169,9.688172,3.1239,2.6696,7.9317,7.1754,9.7497,9.8804,31.52,24.5,0.525572,0.07203
BR0,C1_respect,100,0.795528,0.797226,10.729194,10.104776,3.7122,2.8914,9.5991,7.2961,9.1567,9.0909,34.33,28.0,0.516354,0.061725
BR1,six_way,100,0.805676,0.812512,11.660953,11.187406,5.6604,5.1405,6.7623,6.4245,9.4861,9.3812,28.22,23.0,0.2358,0.115361
BR1,C1_respect,100,0.783649,0.79676,13.347735,12.347286,6.8777,5.9901,8.1419,7.4791,9.3665,9.3011,31.04,27.5,0.204525,0.089001
BR2,six_way,100,0.787538,0.787857,12.51225,11.680717,6.3609,5.8984,6.8798,6.6755,9.8082,9.2313,24.9,23.0,0.222882,0.179054
BR2,C1_respect,100,0.768004,0.773011,13.943361,13.456748,7.6041,7.2205,7.662,7.5735,9.5542,9.7066,27.6,26.0,0.180881,0.135002
BR3,six_way,100,0.778638,0.778479,11.678819,11.311057,5.6812,5.3088,6.4836,6.2268,9.7746,9.4799,23.82,22.5,0.282277,0.220239
BR3,C1_respect,100,0.763811,0.768136,12.453367,11.712681,6.3848,6.1298,6.9064,6.7025,9.5553,9.2339,25.75,23.5,0.229734,0.181707
BR4,six_way,100,0.765795,0.770078,12.072404,11.805194,5.7681,5.5975,6.8302,6.458,10.2482,10.4064,24.8,24.0,0.298666,0.253489
BR4,C1_respect,100,0.747592,0.751459,12.812355,12.518968,6.5429,6.2165,7.0919,6.8833,9.9148,9.7087,26.44,24.0,0.237128,0.21792
BR5,six_way,100,0.763362,0.76574,11.404648,11.518046,5.3691,5.3607,6.0692,6.1899,10.3014,10.1076,24.33,22.5,0.323332,0.274566
BR5,C1_respect,100,0.743076,0.744174,12.548775,12.079404,6.3201,6.3497,6.7497,6.5955,10.1547,9.7698,27.02,26.0,0.251573,0.222849
BR6,six_way,100,0.754745,0.758733,11.845431,11.432444,5.5937,5.2348,6.3629,6.7131,10.5909,10.7286,24.48,23.5,0.332025,0.310121
BR6,C1_respect,100,0.739063,0.741173,12.784576,12.222923,6.209,6.0815,7.4165,7.3634,10.389,10.1555,26.53,26.0,0.253164,0.241472
BR7,six_way,100,0.739267,0.745547,11.743327,11.563437,5.1683,5.0692,6.6576,6.6733,11.1394,11.0688,25.5,25.0,0.349782,0.322527
BR7,C1_respect,100,0.718263,0.720905,13.107362,13.008385,6.4906,6.2227,7.0201,7.1158,10.9353,10.9067,28.47,28.0,0.258069,0.239395
BR8,six_way,100,0.723012,0.728741,11.003265,10.6142,4.5814,4.4267,6.0325,6.0078,11.3543,11.0482,27.39,27.0,0.367803,0.357584
BR8,C1_respect,100,0.70497,0.707753,11.932839,10.99359,5.2283,4.9595,6.8217,6.4962,11.3216,10.9723,30.03,30.0,0.275805,0.262479
BR9,six_way,100,0.721986,0.721607,10.417897,10.130627,4.1639,3.8403,5.5999,5.6234,11.3336,11.5339,27.38,26.5,0.365924,0.337231
BR9,C1_respect,100,0.701167,0.703763,11.662079,11.393286,5.0051,4.698,6.7637,6.6221,11.2424,11.068,30.32,30.0,0.279695,0.260801
BR10,six_way,100,0.718159,0.721449,10.043189,9.667222,3.9525,3.6436,5.4507,5.4742,11.0357,11.1339,28.73,29.0,0.380735,0.361399
BR10,C1_respect,100,0.694809,0.698878,11.117001,10.634576,4.5685,4.3581,6.3227,6.3114,11.3916,11.0327,31.2,30.0,0.292478,0.274399
BR11,six_way,100,0.710043,0.71247,10.548397,10.391002,4.2998,4.0686,5.6078,5.4928,11.3175,11.2836,28.79,29.0,0.399184,0.370708
BR11,C1_respect,100,0.686543,0.691026,11.473491,11.286911,4.5583,4.2395,7.1037,7.2095,11.5641,11.5678,32.12,31.5,0.310704,0.297053
BR12,six_way,100,0.712655,0.713444,10.3069,10.170091,4.2416,4.0536,5.4483,5.3661,10.9835,10.8802,28.69,29.0,0.427433,0.427838
BR12,C1_respect,100,0.682594,0.684389,11.042051,10.510127,4.3209,4.1522,6.5304,6.6454,11.6302,11.8864,32.23,32.0,0.336161,0.320547
BR13,six_way,100,0.705715,0.701845,9.891319,9.754232,3.7545,3.8102,5.4677,5.6921,11.1337,11.151,29.49,29.0,0.448706,0.434214
BR13,C1_respect,100,0.678698,0.679465,11.066315,10.771641,4.3062,4.1919,6.8055,6.7876,11.4444,11.4374,32.74,32.0,0.338142,0.328954
BR14,six_way,100,0.708436,0.709827,9.683287,9.476313,3.6281,3.4627,5.1227,5.22,11.2701,11.2769,28.8,29.0,0.448504,0.417385
BR14,C1_respect,100,0.67009,0.668457,11.254034,11.231602,4.2756,3.9978,6.9996,6.9097,11.8328,11.5579,33.47,33.0,0.35106,0.331532
BR15,six_way,100,0.697176,0.696746,10.412374,10.578235,4.1061,4.15,5.5377,5.5555,11.5392,11.4948,29.42,29.0,0.452603,0.43103
BR15,C1_respect,100,0.667463,0.670718,11.443535,11.133914,4.477,4.053,6.9441,6.8983,11.869,11.7971,33.7,33.5,0.366759,0.346368
